<http://dbpedia.org/resource/Elantris>	{(<http://dbpedia.org/ontology/oclc>,"57391959"^^<http://www.w3.org/2001/XMLSchema#string>),(<http://dbpedia.org/ontology/dcc>,"813/.6),(<http://dbpedia.org/ontology/lcc>,"PS3619.A533),(<http://xmlns.com/foaf/0.1/name>,"Elantris"@en),(<http://dbpedia.org/ontology/author>,<http://dbpedia.org/resource/Brandon_Sanderson>),(<http://dbpedia.org/ontology/coverArtist>,<http://dbpedia.org/resource/Stephan_Martini\u00E8re>),(<http://dbpedia.org/ontology/country>,<http://dbpedia.org/resource/United_States>),(<http://dbpedia.org/ontology/language>,<http://dbpedia.org/resource/English_language>),(<http://dbpedia.org/ontology/literaryGenre>,<http://dbpedia.org/resource/Fantasy_literature>),(<http://dbpedia.org/ontology/publisher>,<http://dbpedia.org/resource/Tor_Books>),(<http://dbpedia.org/ontology/mediaType>,<http://dbpedia.org/resource/Hardcover>),(<http://dbpedia.org/ontology/mediaType>,<http://dbpedia.org/resource/Paperback>),(<http://dbpedia.org/ontology/numberOfPages>,"496"^^<http://www.w3.org/2001/XMLSchema#positiveInteger>),(<http://dbpedia.org/ontology/numberOfPages>,"656"^^<http://www.w3.org/2001/XMLSchema#positiveInteger>),(<http://dbpedia.org/ontology/isbn>,"ISBN),(<http://dbpedia.org/ontology/isbn>,"ISBN)}
<http://dbpedia.org/resource/Roadmarks>	{(<http://dbpedia.org/ontology/coverArtist>,<http://dbpedia.org/resource/Darrell_K._Sweet>)}
<http://dbpedia.org/resource/Cube_Route>	{(<http://dbpedia.org/ontology/coverArtist>,<http://dbpedia.org/resource/Darrell_K._Sweet>)}
<http://dbpedia.org/resource/New_Spring>	{(<http://dbpedia.org/ontology/author>,<http://dbpedia.org/resource/Robert_Jordan>),(<http://dbpedia.org/ontology/country>,<http://dbpedia.org/resource/United_States>),(<http://dbpedia.org/ontology/language>,<http://dbpedia.org/resource/English_language>),(<http://dbpedia.org/ontology/series>,<http://dbpedia.org/resource/The_Wheel_of_Time>),(<http://dbpedia.org/ontology/literaryGenre>,<http://dbpedia.org/resource/Fantasy_literature>),(<http://dbpedia.org/ontology/coverArtist>,<http://dbpedia.org/resource/Darrell_K._Sweet>),(<http://dbpedia.org/ontology/subsequentWork>,<http://dbpedia.org/resource/The_Eye_of_the_World>),(<http://dbpedia.org/ontology/lcc>,"PS3560.O7617),(<http://dbpedia.org/ontology/dcc>,"813/.54),(<http://dbpedia.org/ontology/oclc>,"53099006"^^<http://www.w3.org/2001/XMLSchema#string>),(<http://dbpedia.org/ontology/isbn>,"ISBN),(<http://dbpedia.org/ontology/numberOfPages>,"304"^^<http://www.w3.org/2001/XMLSchema#positiveInteger>),(<http://dbpedia.org/ontology/mediaType>,<http://dbpedia.org/resource/Hardcover>),(<http://dbpedia.org/ontology/publisher>,<http://dbpedia.org/resource/Tor_Books>),(<http://xmlns.com/foaf/0.1/name>,"New)}
<http://dbpedia.org/resource/Night_Mare>	{(<http://dbpedia.org/ontology/coverArtist>,<http://dbpedia.org/resource/Darrell_K._Sweet>)}
<http://dbpedia.org/resource/Ogre,_Ogre>	{(<http://dbpedia.org/ontology/coverArtist>,<http://dbpedia.org/resource/Darrell_K._Sweet>)}
<http://dbpedia.org/resource/Quiet_Days>	{(<http://dbpedia.org/ontology/previousWork>,<http://dbpedia.org/resource/New_Spring_(Battlefield_Band_album)>)}
<http://dbpedia.org/resource/Swell_Foop>	{(<http://dbpedia.org/ontology/coverArtist>,<http://dbpedia.org/resource/Darrell_K._Sweet>)}
<http://dbpedia.org/resource/Warbreaker>	{(<http://dbpedia.org/ontology/author>,<http://dbpedia.org/resource/Brandon_Sanderson>)}
<http://dbpedia.org/resource/Wizardborn>	{(<http://dbpedia.org/ontology/coverArtist>,<http://dbpedia.org/resource/Darrell_K._Sweet>)}
<http://dbpedia.org/resource/Harpy_Thyme>	{(<http://dbpedia.org/ontology/coverArtist>,<http://dbpedia.org/resource/Darrell_K._Sweet>)}
